product_name,brand,ratings,num_of_reviews,old_price,product_price
Always Discreet Adult Incontinence Underwear for Women S/ M (32 ct) - 32 ea,Always Discreet,4.5,125.0,0.0,23.49
Crest Scope Classic Mouthwash Original Mint - 33.8 fl oz,Crest,4.5,1090.0,0.0,5.5
"Tampax Pearl Tampons Trio Multipack, with LeakGuard Braid No scent - 34 ea",Tampax Pearl,4.5,971.0,0.0,11.99
"Walgreens Certainty Incontinence Pads, 6 Drop Ultimate Absorbency Long Length - 45 ea",Walgreens Certainty,4.0,570.0,0.0,18.99
"Always Discreet Adult Incontinence Pads for Women, Postpartum Pads No scent, 6 Extra Heavy Absorbency, Long Length - 45 ea",Always Discreet,0.0,0.0,0.0,24.99
SheaMoisture Bar Soap - 8 oz,SheaMoisture,4.0,952.0,0.0,6.79
Colgate Stain Fighter Whitening Toothpaste Gel Fresh Mint Gel - 4.2 oz,Colgate,4.5,925.0,0.0,4.0
"Vicks Sinex Severe Nasal Spray, Moisturizing Ultra Fine Mist with Aloe, Decongestant - 0.5 fl oz",Vicks Sinex,4.5,390.0,0.0,13.99
NeilMed Nasa Mist All In One Saline Spray - 6 fl oz,NeilMed,4.0,174.0,0.0,11.99
"Always Anti-Bunch Xtra Protection Daily Liners Unscented, Long (108 ct) - 108 ea",Always,4.5,947.0,0.0,12.99
TRESemme Hydrating Shampoo Moisture Rich - 28 fl oz,TRESemme,4.0,1266.0,0.0,7.29
"Always Ultra Thin Feminine Pads With Wings for Women, Long Super Unscented, Size 2 (42 ct) - 42 ea",Always,4.5,1805.0,0.0,12.99
Aveeno Skin Relief Repairing Foot Mask For Dry Skin Fragrance Free - 1 pr,Aveeno,4.0,516.0,0.0,3.99
Vicks Warm Mist Humidifier - 1 ea,Vicks,4.5,826.0,0.0,44.99
Blink Mild-Moderate Dry Eye Symptom Relief - 0.5 fl oz,Blink,4.5,192.0,0.0,14.99
Q-tips Cotton Swabs Original - 625 ea,Q-tips,4.0,2077.0,0.0,6.79
Always Discreet Adult Incontinence Underwear for Women XL (26 ct) - 26 ea,Always Discreet,4.5,66.0,0.0,23.49
Walgreens Small Room Humidifier - 1 ea,Walgreens,4.0,349.0,0.0,27.99
Walgreens Certainty Women's Overnight ComfortLux Underwear Large - 16 ea,Walgreens Certainty,4.0,149.0,0.0,12.99
"Always Discreet Incontinence Panty Liners for Bladder Leaks, Very Light Long, 2 (44 ct) - 44 ea",Always Discreet,4.5,28.0,0.0,7.99
Dove Sensitive Skin Body Wash - 20 fl oz,Dove,4.5,6655.0,0.0,7.0
TRESemme Conditioner Moisture Rich - 28 fl oz,TRESemme,4.5,1240.0,0.0,7.29
TYLENOL Sinus Severe Non-Drowsy Day Cold & Flu Relief Caplets - 24 ea,TYLENOL,4.5,224.0,0.0,12.49
Bausch + Lomb Lumify Redness Reliever Eye Drops - 0.25 fl oz,Bausch + Lomb Lumify,4.5,756.0,0.0,29.99
"Always Radiant Teen Pads, Regular, With Wings Scented, Size 1 (28 ct) - 28 ea",Always,4.5,1471.0,0.0,11.99
Oral-B Advanced Whitening Charcoal Toothbrush Medium Black - 1 ea,Oral-B,4.5,459.0,0.0,4.0
Omron 10 Series Wireless Upper Arm Blood Pressure Monitor (BP7450) - 1 ea,Omron,4.0,882.0,0.0,89.99
"ACT Anticavity Fluoride Mouthwash, Triple Action Mint (Packaging May Vary) - 18 fl oz",ACT,4.5,348.0,0.0,5.99
Walgreens Vaporizing Steam Liquid - 8 fl oz,Walgreens,4.0,148.0,0.0,9.99
Walgreens Replacement Humidifier Filter - 1 ea,Walgreens,4.5,265.0,0.0,10.99
Fisherman's Friend Extra Strong Menthol Cough Suppressant Lozenges Original - 38 ea,Fisherman's Friend,4.5,160.0,0.0,4.99
"Always Infinity Pads, Heavy, Without Wings Unscented, Size 2 - 32 ea",Always,4.5,1637.0,0.0,11.99
Vaseline Petroleum Jelly Original - 1.75 oz,Vaseline,4.5,3142.0,0.0,3.29
Walgreens Certainty Women's ComfortLux Underwear XX-Large Blush - 12 ea,Walgreens Certainty,4.5,701.0,0.0,12.99
Walgreens Squeeze Bottle Kit Sinus Wash - 1 set,Walgreens,3.5,82.0,0.0,11.99
"G-U-M Soft-Picks Advanced, Dental Floss Picks - 60 ea",G-U-M,4.0,137.0,0.0,7.79
Aquaphor Advance Therapy Healing Ointment Fragrance Free - 14 oz,Aquaphor,4.5,1517.0,0.0,19.99
Always Discreet Adult Incontinence Underwear for Women L (28 ct) - 28 ea,Always Discreet,4.0,78.0,0.0,23.49
O'Keeffe's Working Hands Hand Cream - 2.7 oz,O'Keeffe's,4.5,264.0,0.0,7.99
Mielle Organics Rosemary Mint Growth Oil - 2 fl oz,Mielle Organics,4.5,5811.0,0.0,10.99
Garnier Fructis Color Shield Anti-Fade Shampoo for Color-Treated Hair - 12.5 fl oz,Garnier Fructis Color Shield,4.0,1182.0,0.0,5.49
SheaMoisture Bar Soap African Black Soap - 5 oz,SheaMoisture,4.0,392.0,0.0,6.79
L'Oreal Paris Elvive Volume Filler Thickening Shampoo - 12.6 fl oz,L'Oreal Paris Elvive,4.0,328.0,0.0,5.49
Dove Beauty Bar Soap Sensitive - 3.75 oz x 6 pack,Dove,4.5,3299.0,0.0,10.0
Walgreens Daytime Severe Sinus Caplets Cool Blast - 24 ea,Walgreens,4.5,138.0,0.0,8.99
"Walgreens Maxi Pads, Overnight, Wingless Unscented - 48 ea",Walgreens,4.5,273.0,0.0,4.34
Nature's Bounty Optimal Solutions Essential Prenatal Gummies Mixed Berry - 50 ea,Nature's Bounty Optimal Solutions,4.0,128.0,0.0,15.99
Eucerin Eczema Relief Body Cream - 8 oz,Eucerin,4.5,479.0,0.0,15.99
Boston Simplus Multi-Action Solution for Rigid Gas Permeable Contact Lenses - 3.5 oz,Boston,4.5,139.0,0.0,14.99
Olay Fresh Outlast Body Wash Orchid & Black Currant - 22 fl oz,Olay Fresh Outlast,4.5,161.0,0.0,7.0
"Garnier Fructis Grow Strong Conditioner, For Stronger, Healthier, Shinier Hair - 12 fl oz",Garnier Fructis Grow Strong,4.5,1079.0,0.0,5.49
"Always Maxi Overnight Pads with Wings for Women Unscented, Size 4 (33 ct) - 33 ea",Always,4.5,2447.0,0.0,12.99
"Walgreens Certainty Certainty Women's Overnight Underwear, Ultimate Absorbency S/ M - 18 ea",Walgreens Certainty,4.0,87.0,0.0,12.99
CeraVe Face and Body Moisturizing Cream for Normal to Dry Skin with Hyaluronic Acid - 8 fl oz,CeraVe,4.5,15925.0,0.0,14.99
"Always Feminine Pads for Women with wings No scent, Size 4 Overnight - 26 ea",Always,4.5,1395.0,0.0,11.99
Dove Refreshing Body Wash Cucumber & Green Tea - 20 fl oz,Dove,4.5,3246.0,0.0,7.0
CeraVe Moisturizing Face and Body Lotion with Hyaluronic Acid for Normal to Dry Skin Unscented - 12 fl oz,CeraVe,4.5,8808.0,0.0,15.99
Walgreens Sugar-Free Cough Drops Menthol - 150 ea,Walgreens,4.5,357.0,0.0,6.49
"Tampax Pearl Tampons, with LeakGuard Braid No scent - 36 ea",Tampax Pearl,4.5,2554.0,0.0,11.99
Eucerin Advanced Repair Body Lotion - 16.9 fl oz,Eucerin,4.0,643.0,0.0,15.99
"Gold Bond Healing Foot Cream, With Aloe - 4 oz",Gold Bond,4.5,446.0,0.0,7.49
"Arm & Hammer Extreme Whitening Control with Baking Soda & Peroxide, Stain Defense Mint - 6 oz",Arm & Hammer,4.0,530.0,0.0,5.79
"Biotene OralBalance Moisturizing Gel Flavor-Free, Alcohol-Free, for Dry Mouth - 1.5 oz",Biotene,4.0,915.0,0.0,7.49
"Walgreens Maxi Pads, Long Super, With Flexi-Wings Size 2 (ct. 32) - 32 ea",Walgreens,4.5,248.0,0.0,4.49
Poise Incontinence Pads 3 (30 Ct) - 30 ea,Poise,4.0,2323.0,0.0,7.49
Crest Antigingivitis/ Antiplaque Oral Rinse Clean Mint - 16.9 fl oz,Crest,4.5,3933.0,0.0,4.0
Walgreens Anefrin Nasal Spray - 1 fl oz,Walgreens,3.5,159.0,0.0,10.99
Dove Beauty Bar Soap Original White - 3.75 oz x 6 pack,Dove,4.5,11569.0,0.0,10.0
Walgreens Epsom Salt Lavender - 48 oz,Walgreens,4.5,313.0,0.0,4.99
